product_name,variant_name,variant_price,variant_sku,variant_stock,parent,Favourite,Product Description,Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
ACP,,,,,,,,SAE100R2AT High-Temp Textile braid,,Hose ID,Hose OD (mm),Max W.P. (psi),Roll/Reel Length (m),,,10200,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312353_1709547360_1709546525_ACP.jpg,Hydraulic , Hose , High Pressure Hose,,,,
,1-1/4 ID SAE100R2AT High-Temp Textile braid WP 2250 PSI,239.11,ACP-20,43.15,ACP,,,,,1 1/4,48,2250,40,,15,20,,,,,,,,
,1-1/2 GATES MEGA HIGH TEMP HOSE,355.39,ACP-24,62.41,ACP,,,,,1 1/2,54.1,1500,40,,15,24,,,,,,,,
,2-0 HIGH-TEMP R2AT TEXTILE COVER,380.73,ACP-32,41.27,ACP,,,,,2,66.3,1300,40,,15,32,,,,,,,,
B1B,,,,,,,,BSPT Male X BSPT Female Red Bush,,BSPT M,BSPT F,,,,,11920,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312370_1709547382_1709546526_B1B.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/4 BSPT Male X 1/8 BSPT Female Red.Bush,3.05,B1B-04-02,582,B1B,,,,,4-Jan,8-Jan,,,,2,2-Apr,,,,,,,,
,3/8 BSPT Male X 1/8 BSPT Female Red.Bush,3.05,B1B-06-02,299,B1B,,,,,8-Mar,8-Jan,,,,2,2-Jun,,,,,,,,
,"3/8 BSPT Male X 1/4 BSPT Female Red,Bush",2.3,B1B-06-04,601,B1B,,,,,8-Mar,4-Jan,,,,2,4-Jun,,,,,,,,
,1/2 BSPT Male X 1/8 BSPT Female Red.Bush,3.7,B1B-08-02,628,B1B,,,,,2-Jan,8-Jan,,,,2,2-Aug,,,,,,,,
,1/2 BSPT Male X 1/4 BSPT Female Red.Bush,3.45,B1B-08-04,479,B1B,,,,,2-Jan,4-Jan,,,,2,4-Aug,,,,,,,,
,1/2 BSPT Male X 3/8 BSPT Female Red.Bush,2.6,B1B-08-06,562,B1B,,,,,2-Jan,8-Mar,,,,2,6-Aug,,,,,,,,
,3/4 BSPT Male X 1/4 BSPT Female Red.Bush,5.4,B1B-12-04,374,B1B,,,,,4-Mar,4-Jan,,,,2,4-Dec,,,,,,,,
,3/4 BSPT Male X 3/8 BSPT Female Red.Bush,4.75,B1B-12-06,681,B1B,,,,,4-Mar,8-Mar,,,,2,6-Dec,,,,,,,,
,3/4 BSPT Male X 1/2 BSPT Female Red.Bush,6.45,B1B-12-08,699,B1B,,,,,4-Mar,2-Jan,,,,2,8-Dec,,,,,,,,
,1-0 BSPT Male X 1/4 BSPT Female Red.Bush,8.3,B1B-16-04,134,B1B,,,,,1,4-Jan,,,,2,16-04,,,,,,,,
,1-0 BSPT Male X 3/8 BSPT Female Red.Bush,7.8,B1B-16-06,384,B1B,,,,,1,8-Mar,,,,2,16-06,,,,,,,,
,1-0 BSPT Male X 1/2 BSPT Female Red.Bush,6.2,B1B-16-08,282,B1B,,,,,1,2-Jan,,,,2,16-08,,,,,,,,
,1-0 BSPT Male X 3/4 BSPT Female Red.Bush,6.2,B1B-16-12,975,B1B,,,,,1,4-Mar,,,,2,16-12,,,,,,,,
,1-1/4 BSPT MaleX1/2 BSPT Female Red.Bush,14.97,B1B-20-08,18,B1B,,,,,1 1/4,2-Jan,,,,2,20-08,,,,,,,,
,1-1/4 BSPT MaleX3/4 BSPT Female Red.Bush,12.8,B1B-20-12,205,B1B,,,,,1 1/4,4-Mar,,,,2,20-12,,,,,,,,
,1-1/4 BSPT MaleX1-0 BSPT Female Red.Bush,11.3,B1B-20-16,397,B1B,,,,,1 1/4,1,,,,2,20-16,,,,,,,,
,1-1/2 BSPT MaleX1/2 BSPT Female Red.Bush,116.9,B1B-24-08,15,B1B,,,,,1 1/2,2-Jan,,,,2,24-08,,,,,,,,
,1-1/2 BSPT MaleX3/4 BSPT Female Red.Bush,21.2,B1B-24-12,50,B1B,,,,,1 1/2,4-Mar,,,,2,24-12,,,,,,,,
,1-1/2 BSPT MaleX1.0 BSPT Female Red.Bush,20.1,B1B-24-16,169,B1B,,,,,1 1/2,1,,,,2,24-16,,,,,,,,
