product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
ACP,,,,,,,,SAE100R2AT High-Temp Textile braid,,Hose ID,Hose OD (mm),Max W.P. (psi),Roll/Reel Length (m),product 12,,10200,http://localhost/truflow/public/admin/images/csv_product_img/ACP.jpg,Hydraulic , Hose , High Pressure Hose,,,,
,1-1/4 ID SAE100R2AT High-Temp Textile braid WP 2250 PSI,239.11,ACP-20,51.05,ACP,,,,,1 1/4,48,2250,40,,14,20,,,,,,,,
,1-1/2 GATES MEGA HIGH TEMP HOSE,355.39,ACP-24,78.49,ACP,,,,,1 1/2,54.1,1500,40,,14,24,,,,,,,,
,2-0 HIGH-TEMP R2AT TEXTILE COVER,380.73,ACP-32,150.17,ACP,,,,,2,66.3,1300,40,,14,32,,,,,,,,
B1B,,0,,0,,,,BSPT Male X BSPT Female Red Bush,,BSPT M,BSPT F,,,tset,0,11920,http://localhost/truflow/public/admin/images/csv_product_img/B1B.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/4 BSPT Male X 1/8 BSPT Female Red.Bush,3.05,B1B-04-02,666,B1B,,,,,1/4,1/8,,,,2,2-Apr,,,,,,,,
,3/8 BSPT Male X 1/8 BSPT Female Red.Bush,3.05,B1B-06-02,304,B1B,,,,,3/8,1/8,,,,2,2-Jun,,,,,,,,
,"3/8 BSPT Male X 1/4 BSPT Female Red,Bush",2.3,B1B-06-04,717,B1B,,,,,3/8,1/4,,,,2,4-Jun,,,,,,,,
,1/2 BSPT Male X 1/8 BSPT Female Red.Bush,3.7,B1B-08-02,691,B1B,,,,,1/2,1/8,,,,2,2-Aug,,,,,,,,
,1/2 BSPT Male X 1/4 BSPT Female Red.Bush,3.45,B1B-08-04,640,B1B,,,,,1/2,1/4,,,,2,4-Aug,,,,,,,,
,1/2 BSPT Male X 3/8 BSPT Female Red.Bush,2.6,B1B-08-06,663,B1B,,,,,1/2,3/8,,,,2,6-Aug,,,,,,,,
,3/4 BSPT Male X 1/4 BSPT Female Red.Bush,5.4,B1B-12-04,425,B1B,,,,,3/4,1/4,,,,2,4-Dec,,,,,,,,
,3/4 BSPT Male X 3/8 BSPT Female Red.Bush,4.75,B1B-12-06,700,B1B,,,,,3/4,3/8,,,,2,6-Dec,,,,,,,,
,3/4 BSPT Male X 1/2 BSPT Female Red.Bush,6.45,B1B-12-08,954,B1B,,,,,3/4,1/2,,,,2,8-Dec,,,,,,,,
,1-0 BSPT Male X 1/4 BSPT Female Red.Bush,8.3,B1B-16-04,159,B1B,,,,,1,1/4,,,,2,16-04,,,,,,,,
,1-0 BSPT Male X 3/8 BSPT Female Red.Bush,7.8,B1B-16-06,392,B1B,,,,,1,3/8,,,,2,16-06,,,,,,,,
,1-0 BSPT Male X 1/2 BSPT Female Red.Bush,6.2,B1B-16-08,403,B1B,,,,,1,1/2,,,,2,16-08,,,,,,,,
,1-0 BSPT Male X 3/4 BSPT Female Red.Bush,6.2,B1B-16-12,1098,B1B,,,,,1,3/4,,,,2,16-12,,,,,,,,
,1-1/4 BSPT MaleX1/2 BSPT Female Red.Bush,14.97,B1B-20-08,3,B1B,,,,,1 1/4,1/2,,,,2,20-08,,,,,,,,
,1-1/4 BSPT MaleX3/4 BSPT Female Red.Bush,12.8,B1B-20-12,238,B1B,,,,,1 1/4,3/4,,,,2,20-12,,,,,,,,
,1-1/4 BSPT MaleX1-0 BSPT Female Red.Bush,11.3,B1B-20-16,433,B1B,,,,,1 1/4,1,,,,2,20-16,,,,,,,,
